,T,V,G
250,280.19429718875506,1.5012598228348097e-05,636015.2317370521
251,280.19429718875506,0.007249999696227431,-377.32053332317037
252,280.19429718875506,0.014484986794226514,-377.32053332319344
253,280.19429718875506,0.021719973892225596,-377.3205333232165
254,280.19429718875506,0.02895496099022468,-377.3205333232396
255,280.19429718875506,0.03618994808822376,-377.3205333232627
256,280.19429718875506,0.04342493518622285,-377.32053332328576
257,280.19429718875506,0.050659922284221934,-377.3205333233089
258,280.19429718875506,0.05789490938222101,-377.32053332333203
259,280.19429718875506,0.06512989648022009,-377.3205333233551
260,280.19429718875506,0.07236488357821917,-377.3205333233782
261,280.19429718875506,0.07959987067621827,-377.32053332340126
262,280.19429718875506,0.08683485777421734,-377.3205333234244
263,280.19429718875506,0.09406984487221642,-377.3205333234475
264,280.19429718875506,0.10130483197021552,-377.3205333234706
265,280.19429718875506,0.1085398190682146,-377.32053332349363
266,280.19429718875506,0.11577480616621368,-377.32053332351677
267,280.19429718875506,0.12300979326421276,-377.32053332353985
268,280.19429718875506,0.13024478036221182,-377.3205333235629
269,280.19429718875506,0.1374797674602109,-377.32053332358606
270,280.19429718875506,0.14471475455820998,-377.32053332360914
271,280.19429718875506,0.1519497416562091,-377.3205333236323
272,280.19429718875506,0.15918472875420817,-377.32053332365535
273,280.19429718875506,0.16641971585220725,-377.32053332367843
274,280.19429718875506,0.17365470295020632,-377.3205333237015
275,280.19429718875506,0.1808896900482054,-377.3205333237246
276,280.19429718875506,0.18812467714620448,-377.3205333237477
277,280.19429718875506,0.19535966424420356,-377.3205333237708
278,280.19429718875506,0.20259465134220267,-377.32053332379394
279,280.19429718875506,0.20982963844020175,-377.320533323817
280,280.19429718875506,0.21706462553820083,-377.3205333238401
281,280.19429718875506,0.2242996126361999,-377.3205333238632
282,280.19429718875506,0.231534599734199,-377.3205333238863
283,280.19429718875506,0.23876958683219807,-377.32053332390944
284,280.19429718875506,0.24600457393019715,-377.3205333239325
285,280.19429718875506,0.2532395610281962,-377.32053332395566
286,280.19429718875506,0.2604745481261953,-377.3205333239787
287,280.19429718875506,0.2677095352241944,-377.32053332400176
288,280.19429718875506,0.27494452232219346,-377.32053332402484
289,280.19429718875506,0.28217950942019254,-377.320533324048
290,280.19429718875506,0.2894144965181916,-377.3205333240711
291,280.19429718875506,0.29664948361619076,-377.3205333240942
292,280.19429718875506,0.30388447071418984,-377.32053332411726
293,280.19429718875506,0.3111194578121889,-377.32053332414034
294,280.19429718875506,0.318354444910188,-377.3205333241634
295,280.19429718875506,0.3255894320081871,-377.3205333241865
296,280.19429718875506,0.33282441910618615,-377.3205333242097
297,280.19429718875506,0.34005940620418523,-377.32053332423277
298,280.19429718875506,0.3472943933021843,-377.32053332425585
299,280.19429718875506,0.3545293804001834,-377.3205333242789
300,280.19429718875506,0.36176436749818247,-377.320533324302
301,280.19429718875506,0.36899935459618155,-377.3205333243251
302,280.19429718875506,0.37623434169418063,-377.3205333243482
303,280.19429718875506,0.3834693287921797,-377.32053332437135
304,280.19429718875506,0.3907043158901788,-377.32053332439443
305,280.19429718875506,0.39793930298817787,-377.3205333244175
306,280.19429718875506,0.405174290086177,-377.3205333244406
307,280.19429718875506,0.4124092771841761,-377.3205333244637
308,280.19429718875506,0.41964426428217516,-377.3205333244868
309,280.19429718875506,0.42687925138017424,-377.3205333245099
310,280.19429718875506,0.4341142384781733,-377.320533324533
311,280.19429718875506,0.4413492255761724,-377.3205333245561
312,280.19429718875506,0.4485842126741715,-377.3205333245792
313,280.19429718875506,0.45581919977217056,-377.32053332460225
314,280.19429718875506,0.46305418687016964,-377.32053332462544
315,280.19429718875506,0.4702891739681687,-377.3205333246485
316,280.19429718875506,0.4775241610661678,-377.32053332467154
317,280.19429718875506,0.4847591481641669,-377.3205333246947
318,280.19429718875506,0.49199413526216595,-377.32053332471776
319,280.19429718875506,0.49922912236016503,-377.32053332474084
320,280.19429718875506,0.5064641094581641,-377.32053332476397
321,280.19429718875506,0.5136990965561632,-377.32053332478705
322,280.19429718875506,0.5209340836541623,-377.3205333248102
323,280.19429718875506,0.5281690707521614,-377.32053332483326
324,280.19429718875506,0.5354040578501604,-377.32053332485634
325,280.19429718875506,0.5426390449481595,-377.3205333248794
326,280.19429718875506,0.5498740320461586,-377.32053332490256
327,280.19429718875506,0.5571090191441577,-377.32053332492563
328,280.19429718875506,0.5643440062421567,-377.32053332494877
329,280.19429718875506,0.5715789933401558,-377.32053332497185
330,280.19429718875506,0.5788139804381549,-377.3205333249949
331,280.19429718875506,0.5860489675361541,-377.320533325018
332,280.19429718875506,0.5932839546341532,-377.32053332504114
333,280.19429718875506,0.6005189417321523,-377.3205333250642
334,280.19429718875506,0.6077539288301513,-377.3205333250873
335,280.19429718875506,0.6149889159281504,-377.32053332511043
336,280.19429718875506,0.6222239030261495,-377.32053332513357
337,280.19429718875506,0.6294588901241486,-377.3205333251566
338,280.19429718875506,0.6366938772221477,-377.3205333251796
339,280.19429718875506,0.6439288643201467,-377.3205333252028
340,280.19429718875506,0.6511638514181458,-377.3205333252259
341,280.19429718875506,0.6583988385161449,-377.32053332524896
342,280.19429718875506,0.665633825614144,-377.3205333252721
343,280.19429718875506,0.672868812712143,-377.3205333252952
344,280.19429718875506,0.6801037998101421,-377.32053332531825
345,280.19429718875506,0.6873387869081412,-377.3205333253413
346,280.19429718875506,0.6945737740061403,-377.32053332536447
347,280.19429718875506,0.7018087611041394,-377.32053332538754
348,280.19429718875506,0.7090437482021384,-377.3205333254107
349,280.19429718875506,0.7162787353001375,-377.32053332543376
