,T,P,S
0,273.26000000000005,0.04017665423255512,1.779380244980516
1,273.26000000000005,0.08033719191710129,1.9537026284330445
2,273.26000000000005,0.12049772960164744,2.0693887418316965
3,273.26000000000005,0.1606582672861936,2.1282422250659354
4,273.26000000000005,0.20081880497073973,2.132019457833517
5,273.26000000000005,0.24097934265528587,2.0824306450634777
6,273.26000000000005,0.281139880339832,1.9811410161654992
7,273.26000000000005,0.3213004180243782,1.829772087036544
8,273.26000000000005,0.36146095570892434,1.6299029390820587
9,273.26000000000005,0.40162149339347053,1.383071474204128
10,273.26000000000005,0.4417820310780167,1.0907756315130162
11,273.26000000000005,0.4819425687625628,0.7544745347072919
12,273.26000000000005,0.522103106447109,0.3755895761121414
13,280.19429718875506,0.04017665423255512,106.8240661363541
14,280.19429718875506,0.08033719191710129,106.57242912360756
15,280.19429718875506,0.12049772960164744,106.27868609413257
16,280.19429718875506,0.1606582672861936,105.94394540831912
17,280.19429718875506,0.20081880497073973,105.56929417645259
18,280.19429718875506,0.24097934265528587,105.15579886045566
19,280.19429718875506,0.281139880339832,104.70450588599927
20,280.19429718875506,0.3213004180243782,104.21644219971834
21,280.19429718875506,0.36146095570892434,103.6926157604525
22,280.19429718875506,0.40162149339347053,103.13401597186467
23,280.19429718875506,0.4417820310780167,102.5416140530951
24,280.19429718875506,0.4819425687625628,101.91636334749367
25,280.19429718875506,0.522103106447109,101.25919957467032
26,280.19429718875506,0.5622636441316552,100.57104103533484
27,280.19429718875506,0.6024241818162013,99.85278876561159
28,280.19429718875506,0.6425847195007475,99.10532665573399
29,280.19429718875506,0.6827452571852934,98.32952153652585
30,280.19429718875506,0.7229057948698396,97.52622324026068
31,280.19429718875506,0.7630663325543859,96.696264639936
32,280.19429718875506,0.8032268702389319,95.84046168062015
33,280.19429718875506,0.8433874079234781,94.95961339866953
34,280.19429718875506,0.8835479456080244,94.05450193854571
35,280.19429718875506,0.9237084832925705,93.12589257497841
36,280.19429718875506,0.9638690209771167,92.17453373509326
37,280.19429718875506,1.0040295586616628,91.20115703365678
38,280.19429718875506,1.0441900963462087,90.2064773167638
39,280.19429718875506,1.0843506340307552,89.19119271966503
40,280.19429718875506,1.1245111717153013,88.15598473863272
41,280.19429718875506,1.1646717093998473,87.10151831822314
42,280.19429718875506,1.2048322470843937,86.02844195689649
43,280.19429718875506,1.24499278476894,84.93738782699278
44,280.19429718875506,1.2851533224534857,83.82897191273885
45,280.19429718875506,1.3253138601380319,82.70379416360727
46,280.19429718875506,1.365474397822578,81.56243866526377
47,280.19429718875506,1.4056349355071243,80.4054738246212
48,280.19429718875506,1.4457954731916702,79.23345256983573
49,280.19429718875506,1.4859560108762166,78.04691256327159
50,280.19429718875506,1.5261165485607628,76.84637642803149
51,280.19429718875506,1.566277086245309,75.63235198454632
52,280.19429718875506,1.6064376239298552,74.40533249935044
53,280.19429718875506,1.646598161614401,73.16579694143972
54,280.19429718875506,1.6867586992989472,71.91421024745074
55,280.19429718875506,1.7269192369834934,70.65102359396178
56,280.19429718875506,1.7670797746680398,69.37667467524811
57,280.19429718875506,1.807240312352586,68.09158798703088
58,280.19429718875506,1.8474008500371322,66.79617511177081
59,280.19429718875506,1.8875613877216781,65.49083500981257
60,280.19429718875506,1.9277219254062243,64.17595431009748
61,280.19429718875506,1.9678824630907705,62.85190760408229
62,280.19429718875506,2.0080430007753165,61.51905773756584
63,280.19429718875506,2.0482035384598625,60.17775610500885
64,280.19429718875506,2.088364076144409,58.82834294017835
65,280.19429718875506,2.1285246138289553,57.471147607304644
66,280.19429718875506,2.1686851515135013,56.10648888866123
67,280.19429718875506,2.2088456891980472,54.7346752696698
68,280.19429718875506,2.2490062268825937,53.356005220859544
69,280.19429718875506,2.2891667645671396,51.970767476921
70,280.19429718875506,2.3293273022516856,50.579241311086975
71,280.19429718875506,2.369487839936232,49.1816968047994
72,280.19429718875506,2.4096483776207784,47.77839511407984
73,280.19429718875506,2.4498089153053244,46.369588729840515
74,280.19429718875506,2.489969452989871,44.955521734594846
75,280.19429718875506,2.530129990674417,43.536430052656044
76,280.19429718875506,2.5702905283589628,42.11254169589069
77,280.19429718875506,2.6104510660435087,40.684077003585195
78,280.19429718875506,2.6506116037280547,39.25124887712927
79,280.19429718875506,2.690772141412601,37.81426300984699
80,280.19429718875506,2.730932679097147,36.37331810926899
81,280.19429718875506,2.771093216781693,34.9286061160378
82,280.19429718875506,2.8112537544662395,33.48031241591342
83,280.19429718875506,2.8514142921507855,32.02861604663298
84,280.19429718875506,2.8915748298353314,30.573689899334976
85,280.19429718875506,2.9317353675198783,29.115700913947926
86,280.19429718875506,2.9718959052044247,27.654810269896277
87,280.19429718875506,3.0120564428889707,26.191173571176584
88,280.19429718875506,3.0522169805735166,24.724941025573578
89,280.19429718875506,3.092377518258063,23.256257619580435
90,280.19429718875506,3.132538055942609,21.78526328761466
91,280.19429718875506,3.172698593627155,20.312093076363478
92,280.19429718875506,3.2128591313117014,18.836877304029084
93,280.19429718875506,3.2530196689962474,17.359741714973893
94,280.19429718875506,3.293180206680794,15.880807629915799
95,280.19429718875506,3.33334074436534,14.400192090706055
96,280.19429718875506,3.3735012820498853,12.918008000794083
97,280.19429718875506,3.4136618197344317,11.43436426234086
98,280.19429718875506,3.4538223574189777,9.94936590761978
99,280.19429718875506,3.493982895103524,8.463114226937384
100,280.19429718875506,3.5341434327880705,6.9757068927337205
101,280.19429718875506,3.574303970472617,5.4872380786637835
102,280.19429718875506,3.614464508157163,3.997798576378504
103,280.19429718875506,3.654625045841709,2.5074759071031774
