,T,D,U
250,280.19429718875506,0.01,1861543.4497288782
251,280.19429718875506,4.829277108433735,33386.671988929076
252,280.19429718875506,9.64855421686747,31491.92513188806
253,280.19429718875506,14.467831325301207,30859.469761262953
254,280.19429718875506,19.287108433734943,30543.078117891877
255,280.19429718875506,24.106385542168677,30353.190632643615
256,280.19429718875506,28.925662650602415,30226.577093571726
257,280.19429718875506,33.74493975903614,30136.128131163718
258,280.19429718875506,38.56421686746988,30068.285545828658
259,280.19429718875506,43.38349397590362,30015.515615483717
260,280.19429718875506,48.20277108433735,29973.29748170997
261,280.19429718875506,53.02204819277109,29938.753924554494
262,280.19429718875506,57.841325301204826,29909.966631570926
263,280.19429718875506,62.66060240963856,29885.607446098435
264,280.19429718875506,67.4798795180723,29864.727628572837
265,280.19429718875506,72.29915662650603,29846.631401653947
266,280.19429718875506,77.11843373493977,29830.79690978116
267,280.19429718875506,81.93771084337351,29816.825071951804
268,280.19429718875506,86.75698795180725,29804.4054816083
269,280.19429718875506,91.57626506024097,29793.29307380601
270,280.19429718875506,96.39554216867471,29783.291791504686
271,280.19429718875506,101.21481927710845,29774.242918172593
272,280.19429718875506,106.03409638554218,29766.01659210772
273,280.19429718875506,110.85337349397592,29758.505534214502
274,280.19429718875506,115.67265060240966,29751.62034370094
275,280.19429718875506,120.49192771084338,29745.285922714596
276,280.19429718875506,125.31120481927712,29739.438725996803
277,280.19429718875506,130.13048192771083,29734.02462167785
278,280.19429718875506,134.94975903614457,29728.997210439247
279,280.19429718875506,139.7690361445783,29724.3164924106
280,280.19429718875506,144.58831325301205,29719.94780066872
281,280.19429718875506,149.40759036144578,29715.86094114238
282,280.19429718875506,154.22686746987952,29712.029493774557
283,280.19429718875506,159.04614457831326,29708.430240738013
284,280.19429718875506,163.865421686747,29705.042695547923
285,280.19429718875506,168.68469879518074,29701.848712893203
286,280.19429718875506,173.50397590361447,29698.832163492243
287,280.19429718875506,178.3232530120482,29695.978661671772
288,280.19429718875506,183.14253012048192,29693.27533595724
289,280.19429718875506,187.96180722891566,29690.710634955092
290,280.19429718875506,192.7810843373494,29688.2741623512
291,280.19429718875506,197.60036144578314,29685.956536054662
292,280.19429718875506,202.41963855421687,29683.749267462914
293,280.19429718875506,207.2389156626506,29681.644657572706
294,280.19429718875506,212.05819277108435,29679.6357072572
295,280.19429718875506,216.8774698795181,29677.71603950547
296,280.19429718875506,221.69674698795183,29675.87983180426
297,280.19429718875506,226.51602409638556,29674.121757151483
298,280.19429718875506,231.3353012048193,29672.436932442695
299,280.19429718875506,236.154578313253,29670.820873177367
300,280.19429718875506,240.97385542168675,29669.269453600115
301,280.19429718875506,245.7931325301205,29667.778871531016
302,280.19429718875506,250.61240963855423,29666.345617253908
303,280.19429718875506,255.43168674698796,29664.966445926457
304,280.19429718875506,260.2509638554217,29663.638353055805
305,280.19429718875506,265.07024096385544,29662.35855264942
306,280.19429718875506,269.88951807228915,29661.124457706854
307,280.19429718875506,274.7087951807229,29659.933662764946
308,280.19429718875506,279.5280722891566,29658.783928248624
309,280.19429718875506,284.3473493975904,29657.67316641304
310,280.19429718875506,289.1666265060241,29656.599428691563
311,280.19429718875506,293.98590361445787,29655.560894288054
312,280.19429718875506,298.8051807228916,29654.55585987317
313,280.19429718875506,303.62445783132534,29653.582730261893
314,280.19429718875506,308.44373493975905,29652.640009965042
315,280.19429718875506,313.26301204819276,29651.726295520595
316,280.19429718875506,318.08228915662653,29650.84026852217
317,280.19429718875506,322.90156626506024,29649.980689271775
318,280.19429718875506,327.720843373494,29649.1463909926
319,280.19429718875506,332.5401204819277,29648.336274545032
320,280.19429718875506,337.3593975903615,29647.549303595573
321,280.19429718875506,342.1786746987952,29646.78450019403
322,280.19429718875506,346.99795180722896,29646.040940719176
323,280.19429718875506,351.81722891566267,29645.31775215775
324,280.19429718875506,356.63650602409643,29644.614108685066
325,280.19429718875506,361.45578313253014,29643.929228519188
326,280.19429718875506,366.27506024096385,29643.262371023517
327,280.19429718875506,371.0943373493976,29642.612834035004
328,280.19429718875506,375.91361445783133,29641.979951398018
329,280.19429718875506,380.7328915662651,29641.36309068544
330,280.19429718875506,385.5521686746988,29640.761651090703
331,280.19429718875506,390.3714457831326,29640.175061475904
332,280.19429718875506,395.1907228915663,29639.602778562854
333,280.19429718875506,400.01000000000005,29639.04428525477
334,280.19429718875506,404.82927710843376,29638.49908907794
335,280.19429718875506,409.6485542168675,29637.966720733293
336,280.19429718875506,414.46783132530123,29637.446732749107
337,280.19429718875506,419.28710843373494,29636.9386982266
338,280.19429718875506,424.1063855421687,29636.442209670982
339,280.19429718875506,428.9256626506024,29635.956877901448
340,280.19429718875506,433.7449397590362,29635.48233103369
341,280.19429718875506,438.5642168674699,29635.01821352961
342,280.19429718875506,443.38349397590366,29634.564185308926
343,280.19429718875506,448.20277108433737,29634.119920918165
344,280.19429718875506,453.02204819277114,29633.685108752587
345,280.19429718875506,457.84132530120485,29633.259450327405
346,280.19429718875506,462.6606024096386,29632.842659594397
347,280.19429718875506,467.4798795180723,29632.434462300927
348,280.19429718875506,472.29915662650603,29632.03459538809
349,280.19429718875506,477.1184337349398,29631.64280642539
350,280.19429718875506,481.9377108433735,29631.258853079355
351,280.19429718875506,486.7569879518073,29630.88250261368
352,280.19429718875506,491.576265060241,29630.51353141878
353,280.19429718875506,496.39554216867475,29630.15172456877
354,280.19429718875506,501.21481927710846,29629.79687540398
355,280.19429718875506,506.0340963855422,29629.448785137338
356,280.19429718875506,510.85337349397594,29629.107262483
357,280.19429718875506,515.6726506024097,29628.772123305895
358,280.19429718875506,520.4919277108434,29628.4431902906
359,280.19429718875506,525.3112048192771,29628.12029262859
360,280.19429718875506,530.1304819277109,29627.80326572242
361,280.19429718875506,534.9497590361447,29627.491950905973
362,280.19429718875506,539.7690361445783,29627.186195179685
363,280.19429718875506,544.5883132530121,29626.885850959803
364,280.19429718875506,549.4075903614458,29626.590775840858
365,280.19429718875506,554.2268674698796,29626.300832370514
366,280.19429718875506,559.0461445783133,29626.0158878361
367,280.19429718875506,563.865421686747,29625.73581406204
368,280.19429718875506,568.6846987951808,29625.460487217642
369,280.19429718875506,573.5039759036144,29625.189787634463
370,280.19429718875506,578.3232530120482,29624.923599633
371,280.19429718875506,583.142530120482,29624.661811357768
372,280.19429718875506,587.9618072289157,29624.404314620606
373,280.19429718875506,592.7810843373494,29624.151004751628
374,280.19429718875506,597.6003614457832,29623.90178045734
375,280.19429718875506,602.4196385542169,29623.65654368556
376,280.19429718875506,607.2389156626507,29623.415199496845
377,280.19429718875506,612.0581927710844,29623.177655941916
378,280.19429718875506,616.8774698795181,29622.943823944875
379,280.19429718875506,621.6967469879519,29622.713617191792
380,280.19429718875506,626.5160240963855,29622.48695202455
381,280.19429718875506,631.3353012048193,29622.263747339384
382,280.19429718875506,636.1545783132531,29622.04392449023
383,280.19429718875506,640.9738554216868,29621.82740719626
384,280.19429718875506,645.7931325301205,29621.614121453647
