,T,P,U
101,290.70080808080814,10101615.675459474,73131.98728601636
102,290.70080808080814,20202619.59611805,72602.21796693718
103,290.70080808080814,30303623.51677663,72071.73731782117
104,290.70080808080814,40404627.4374352,71540.42350093515
105,290.70080808080814,50505631.358093776,71008.28247993796
106,290.70080808080814,60606635.27875236,70475.42965379736
107,290.70080808080814,70707639.19941095,69942.07225493535
108,290.70080808080814,80808643.12006952,69408.4926371576
109,290.70080808080814,90909647.04072809,68875.03265530629
110,290.70080808080814,101010650.96138667,68342.07933092264
111,290.70080808080814,111111654.88204525,67810.05195086448
112,290.70080808080814,121212658.80270383,67279.3906814503
113,290.70080808080814,131313662.7233624,66750.54671299507
114,290.70080808080814,141414666.64402097,66223.97389743988
115,290.70080808080814,151515670.56467953,65700.12179551815
116,290.70080808080814,161616674.48533812,65179.43002225339
117,290.70080808080814,171717678.4059967,64662.323760857114
118,290.70080808080814,181818682.32665527,64149.2103084587
119,290.70080808080814,191919686.24731386,63640.47651660269
120,290.70080808080814,202020690.16797242,63136.48699572998
121,290.70080808080814,212121694.088631,62637.58296150605
122,290.70080808080814,222222698.0092896,62144.08161244911
123,290.70080808080814,232323701.92994815,61656.27594124977
124,290.70080808080814,242424705.85060674,61174.434893164216
125,290.70080808080814,252525709.77126533,60698.8037978894
126,290.70080808080814,262626713.6919239,60229.6050120338
127,290.70080808080814,272727717.6125825,59767.038719077216
128,290.70080808080814,282828721.5332411,59311.28384289903
129,290.70080808080814,292929725.4538997,58862.49903884772
130,290.70080808080814,303030729.3745582,58420.82373274383
131,290.70080808080814,313131733.2952168,57986.37918415344
132,290.70080808080814,323232737.2158754,57559.26955544302
133,290.70080808080814,333333741.136534,57139.582971411925
134,290.70080808080814,343434745.05719256,56727.3925587947
135,290.70080808080814,353535748.9778511,56322.75745651332
136,290.70080808080814,363636752.8985097,55925.72379112054
137,290.70080808080814,373737756.81916827,55536.32561247936
138,290.70080808080814,383838760.73982686,55154.58578728797
139,290.70080808080814,393939764.66048545,54780.51684853956
140,290.70080808080814,404040768.581144,54414.12180028379
141,290.70080808080814,414141772.50180256,54055.39487776161
142,290.70080808080814,424242776.42246115,53704.32226338764
143,290.70080808080814,434343780.34311974,53360.882759632965
144,290.70080808080814,444444784.2637783,53025.048420245344
145,290.70080808080814,454545788.1844369,52696.78514118472
146,290.70080808080814,464646792.10509545,52376.05321306593
147,290.70080808080814,474747796.02575403,52062.8078369108
148,290.70080808080814,484848799.9464126,51756.99960497831
149,290.70080808080814,494949803.8670712,51458.5749486166
150,290.70080808080814,505050807.7877298,51167.47655487046
151,290.70080808080814,515151811.7083883,50883.64375379073
152,290.70080808080814,525252815.6290469,50607.01287798154
153,290.70080808080814,535353819.5497055,50337.517596301295
154,290.70080808080814,545454823.4703641,50075.089223222974
155,290.70080808080814,555555827.3910227,49819.657005353925
156,290.70080808080814,565656831.3116813,49571.14838672404
157,290.70080808080814,575757835.2323399,49329.48925412788
158,290.70080808080814,585858839.1529984,49094.6041638884
159,290.70080808080814,595959843.0736569,48866.41655125689
160,290.70080808080814,606060846.9943155,48644.848923609126
161,290.70080808080814,616161850.9149741,48429.823038664326
162,290.70080808080814,626262854.8356327,48221.26006850512
163,290.70080808080814,636363858.7562913,48019.08075064332
164,290.70080808080814,646464862.6769499,47823.20552680866
165,290.70080808080814,656565866.5976084,47633.55467046522
166,290.70080808080814,666666870.518267,47450.04840375361
167,290.70080808080814,676767874.4389256,47272.60700462728
168,290.70080808080814,686868878.3595842,47101.150904833776
169,290.70080808080814,696969882.2802428,46935.60077950308
170,290.70080808080814,707070886.2009013,46775.87762872036
171,290.70080808080814,717171890.1215599,46621.90285194121
172,290.70080808080814,727272894.0422184,46473.59831544983
173,290.70080808080814,737373897.962877,46330.88641356019
174,290.70080808080814,747474901.8835356,46193.69012402999
175,290.70080808080814,757575905.8041942,46061.93305784513
176,290.70080808080814,767676909.7248528,45935.53950415278
177,290.70080808080814,777777913.6455114,45814.43447038753
178,290.70080808080814,787878917.56617,45698.543718054345
179,290.70080808080814,797979921.4868286,45587.79379455206
180,290.70080808080814,808080925.407487,45482.112061200176
181,290.70080808080814,818181929.3281456,45381.42671783395
182,290.70080808080814,828282933.2488042,45285.66682421765
183,290.70080808080814,838383937.1694628,45194.76231843655
184,290.70080808080814,848484941.0901214,45108.64403264171
185,290.70080808080814,858585945.01078,45027.2437061945
186,290.70080808080814,868686948.9314386,44950.49399648863
187,290.70080808080814,878787952.8520972,44878.32848765538
188,290.70080808080814,888888956.7727557,44810.6816972188
189,290.70080808080814,898989960.6934143,44747.489080984284
190,290.70080808080814,909090964.6140729,44688.68703620297
191,290.70080808080814,919191968.5347314,44634.212903185355
192,290.70080808080814,929292972.45539,44584.00496554046
193,290.70080808080814,939393976.3760486,44538.00244903586
194,290.70080808080814,949494980.2967072,44496.14551933609
195,290.70080808080814,959595984.2173657,44458.37527860265
196,290.70080808080814,969696988.1380243,44424.633761118246
197,290.70080808080814,979797992.0586829,44394.863928019564
198,290.70080808080814,989898995.9793415,44369.00966113927
199,290.70080808080814,999999999.9,44347.015756193585
201,308.1416161616162,10101615.675459474,145527.39190471993
202,308.1416161616162,20202619.59611805,144492.1818314707
203,308.1416161616162,30303623.51677663,143485.6455771551
204,308.1416161616162,40404627.4374352,142505.67314178657
205,308.1416161616162,50505631.358093776,141550.42142169576
206,308.1416161616162,60606635.27875236,140618.2809562167
207,308.1416161616162,70707639.19941095,139707.84652489895
208,308.1416161616162,80808643.12006952,138817.8911005917
209,308.1416161616162,90909647.04072809,137947.34277756943
210,308.1416161616162,101010650.96138667,137095.2643632127
211,308.1416161616162,111111654.88204525,136260.83536650258
212,308.1416161616162,121212658.80270383,135443.33614554716
213,308.1416161616162,131313662.7233624,134642.13400198784
214,308.1416161616162,141414666.64402097,133856.671017697
215,308.1416161616162,151515670.56467953,133086.45345222545
216,308.1416161616162,161616674.48533812,132331.0425292204
217,308.1416161616162,171717678.4059967,131590.04645327153
218,308.1416161616162,181818682.32665527,130863.11351335149
219,308.1416161616162,191919686.24731386,130149.92614086487
220,308.1416161616162,202020690.16797242,129450.1958035384
221,308.1416161616162,212121694.088631,128763.65862868456
222,308.1416161616162,222222698.0092896,128090.07166060263
223,308.1416161616162,232323701.92994815,127429.2096675673
224,308.1416161616162,242424705.85060674,126780.86242406712
225,308.1416161616162,252525709.77126533,126144.83240299636
226,308.1416161616162,262626713.6919239,125520.93282027701
227,308.1416161616162,272727717.6125825,124908.98598216685
228,308.1416161616162,282828721.5332411,124308.82189188503
229,308.1416161616162,292929725.4538997,123720.277077979
230,308.1416161616162,303030729.3745582,123143.19361191608
231,308.1416161616162,313131733.2952168,122577.41828683804
232,308.1416161616162,323232737.2158754,122022.80193355854
233,308.1416161616162,333333741.136534,121479.19885267645
234,308.1416161616162,343434745.05719256,120946.46634568216
235,308.1416161616162,353535748.9778511,120424.46432906576
236,308.1416161616162,363636752.8985097,119913.0550190835
237,308.1416161616162,373737756.81916827,119412.10267555602
238,308.1416161616162,383838760.73982686,118921.4733955556
239,308.1416161616162,393939764.66048545,118441.03494863467
240,308.1416161616162,404040768.581144,117970.6566468868
241,308.1416161616162,414141772.50180256,117510.209243943
242,308.1416161616162,424242776.42246115,117059.56485776241
243,308.1416161616162,434343780.34311974,116618.59691338749
244,308.1416161616162,444444784.2637783,116187.18010156968
245,308.1416161616162,454545788.1844369,115765.19035082406
246,308.1416161616162,464646792.10509545,115352.50480983894
247,308.1416161616162,474747796.02575403,114949.00183847142
