Date,Time,KW
42166.00,0.35,3796.80
42166.00,0.36,3864.00
42166.00,0.37,3830.40
42166.00,0.39,3864.00
42166.00,0.40,3864.00
42166.00,0.41,3931.20
42166.00,0.42,3897.60
42166.00,0.43,3897.60
42166.00,0.44,3864.00
42166.00,0.45,3763.20
42166.00,0.46,3729.60
42166.00,0.47,3796.80
42166.00,0.48,3864.00
42166.00,0.49,3864.00
42166.00,0.50,3931.20
42166.00,0.51,3964.80
42166.00,0.52,3964.80
42166.00,0.53,4032.00
42166.00,0.54,3796.80
42166.00,0.55,3796.80
42166.00,0.56,3796.80
42166.00,0.57,3763.20
42166.00,0.58,3729.60
42166.00,0.59,3729.60
42166.00,0.60,3763.20
42166.00,0.61,3830.40
42166.00,0.62,3830.40
42166.00,0.64,3864.00
42166.00,0.65,3763.20
42166.00,0.66,3763.20
42166.00,0.67,3763.20
42166.00,0.68,3662.40
42166.00,0.69,3628.80
42166.00,0.70,3561.60
42166.00,0.71,3662.40
42166.00,0.72,3595.20
42166.00,0.73,3561.60
42166.00,0.74,3528.00
42166.00,0.75,3494.40
42166.00,0.76,3528.00
42166.00,0.77,3561.60
42166.00,0.78,3460.80
42166.00,0.79,3494.40
42166.00,0.80,3360.00
42166.00,0.81,3360.00
42166.00,0.82,3393.60
42166.00,0.83,3427.20
42166.00,0.84,3326.40
42166.00,0.85,3393.60
42166.00,0.86,3427.20
42166.00,0.87,3360.00
42166.00,0.89,3326.40
42166.00,0.90,3259.20
42166.00,0.91,3192.00
42166.00,0.92,3158.40
42166.00,0.93,3192.00
42166.00,0.94,3225.60
42166.00,0.95,3225.60
42166.00,0.96,3292.80
42166.00,0.97,3259.20
42166.00,0.98,3225.60
42166.00,0.99,3158.40
42166.00,1.00,3225.60
42167.00,0.01,3192.00
42167.00,0.02,3158.40
42167.00,0.03,3192.00
42167.00,0.04,3192.00
42167.00,0.05,3124.80
42167.00,0.06,3192.00
42167.00,0.07,3158.40
42167.00,0.08,3192.00
42167.00,0.09,3158.40
42167.00,0.10,3158.40
42167.00,0.11,3091.20
42167.00,0.12,3057.60
42167.00,0.14,3057.60
42167.00,0.15,3124.80
42167.00,0.16,3158.40
42167.00,0.17,3192.00
42167.00,0.18,3192.00
42167.00,0.19,3259.20
42167.00,0.20,3259.20
42167.00,0.21,3259.20
42167.00,0.22,3393.60
42167.00,0.23,3427.20
42167.00,0.24,3628.80
42167.00,0.25,3561.60
42167.00,0.26,3628.80
42167.00,0.27,3662.40
42167.00,0.28,3729.60
42167.00,0.29,3696.00
42167.00,0.30,3662.40
42167.00,0.31,3696.00
42167.00,0.32,3729.60
42167.00,0.33,3696.00
42167.00,0.34,3729.60
42167.00,0.35,3763.20
42167.00,0.36,3696.00
42167.00,0.37,3796.80
42167.00,0.39,3763.20
42167.00,0.40,3729.60
42167.00,0.41,3763.20
42167.00,0.42,3729.60
42167.00,0.43,3662.40
42167.00,0.44,3763.20
42167.00,0.45,3662.40
42167.00,0.46,3628.80
42167.00,0.47,3628.80
42167.00,0.48,3729.60
42167.00,0.49,3729.60
42167.00,0.50,3696.00
42167.00,0.51,3763.20
42167.00,0.52,3662.40
42167.00,0.53,3696.00
42167.00,0.54,3561.60
42167.00,0.55,3494.40
42167.00,0.56,3528.00
42167.00,0.57,3528.00
42167.00,0.58,3494.40
42167.00,0.59,3561.60
42167.00,0.60,3595.20
42167.00,0.61,3662.40
42167.00,0.62,3628.80
42167.00,0.64,3595.20
42167.00,0.65,3595.20
42167.00,0.66,3662.40
42167.00,0.67,3662.40
42167.00,0.68,3494.40
42167.00,0.69,3393.60
42167.00,0.70,3393.60
42167.00,0.71,3460.80
42167.00,0.72,3460.80
42167.00,0.73,3427.20
42167.00,0.74,3460.80
42167.00,0.75,3360.00
42167.00,0.76,3427.20
42167.00,0.77,3360.00
42167.00,0.78,3326.40
42167.00,0.79,3259.20
42167.00,0.80,3292.80
42167.00,0.81,3360.00
42167.00,0.82,3460.80
42167.00,0.83,3393.60
42167.00,0.84,3393.60
42167.00,0.85,3292.80
42167.00,0.86,3292.80
42167.00,0.87,3225.60
42167.00,0.89,2956.80
42167.00,0.90,2856.00
42167.00,0.91,2755.20
42167.00,0.92,2755.20
42167.00,0.93,2721.60
42167.00,0.94,2688.00
42167.00,0.95,2654.40
42167.00,0.96,2654.40
42167.00,0.97,2688.00
42167.00,0.98,2688.00
42167.00,0.99,2654.40
42167.00,1.00,2587.20
42168.00,0.01,2587.20
